application_id,competition_id,name,route_class,model_status,profile,aureon_work_package_total_gbp,grant_request_gbp,company_contribution_gbp,partner_budget_status,submit_control,deadline,official_url
APP-IFS-FULL-ADOPT-R8-2491-20260709,2491,Full ADOPT Grant: Round 8,EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_FARM_LEAD_REQUIRED,FULL_ADOPT_FARM_LED_TRIAL_SUPPORT,50000,,,England farm lead and at least one UK farming collaborator must own final project budget.,Do not submit as R&A/Aureon direct applicant.,2026-07-29T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2491/overview/77ba6cb6-c14d-41f7-84de-e45446636e50
APP-IFS-ACTASAP-PILOT-2502-20260709,2502,ACTASAP Pilot Phase 1,EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_ACADEMIC_LEAD_REQUIRED,ACTASAP_ACADEMIC_LED_VALIDATION_SUPPORT,75000,,,UK registered academic institution must lead and approve any Aureon support role and budget.,Do not submit as R&A/Aureon direct applicant.,2026-07-28T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2502/overview/35ca10fb-d4f5-4510-9ddd-e7e3133d2b6d
APP-IFS-AKT6-2473-20260709,2473,Accelerated Knowledge Transfer Partnerships 6 (AKT 6),EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_KNOWLEDGE_BASE_LEAD_REQUIRED,AKT6_KNOWLEDGE_BASE_LED_BUSINESS_PARTNER,75000,,7500,Eligible UK knowledge-base lead must set the final project budget; business contribution minimum 10 percent.,"Do not submit without knowledge-base lead, four-FTE evidence, role confirmation and budget.",2026-07-15T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2473/overview/d9a164dd-2094-4590-baa7-a057279d80a3
APP-IFS-CKAF-AUTUMN-2478-20260709,2478,Commercialising Knowledge Assets Fund (CKAF) Autumn,EXPLICITLY_GATED_OR_INELIGIBLE,COST_SKELETON_READY_PUBLIC_SECTOR_RESEARCH_ORG_REQUIRED,CKAF_PUBLIC_SECTOR_KNOWLEDGE_ASSET_COMMERCIALISATION_SUPPORT,50000,,,Eligible public sector research organisation must lead; R&A/Aureon can only support if procured or partnered.,Do not submit as R&A/Aureon direct applicant.,2026-09-01T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2478/overview/77f0cc95-dd1b-450f-a02d-e83046b464c1
APP-IFS-ZEVI2-ENERGY-EFFICIENCY-2436-20260709,2436,Zero Emission Vessels and Infrastructure 2: Energy Efficiency,CONVERSION_PACK_READY_PARTNER_EVIDENCE_REQUIRED,COST_SKELETON_READY_MARITIME_CONSORTIUM_REQUIRED,ZEVI2_MARITIME_COLLABORATION_AUREON_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Three-year real-world clean-maritime deployment partner, assets, permissions and consortium budget required.",Do not submit without consortium budget and delivery evidence.,2026-09-16T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2436/overview/97d03e1a-7760-4939-97b4-4f230c84a6aa
APP-IFS-ZEVI2-ELECTRIC-POWER-2435-20260709,2435,Zero Emission Vessels and Infrastructure 2: Electric Power,CONVERSION_PACK_READY_PARTNER_EVIDENCE_REQUIRED,COST_SKELETON_READY_MARITIME_CONSORTIUM_REQUIRED,ZEVI2_MARITIME_COLLABORATION_AUREON_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Three-year real-world clean-maritime deployment partner, assets, permissions and consortium budget required.",Do not submit without consortium budget and delivery evidence.,2026-09-16T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2435/overview/592ea5c1-f713-4654-bb5e-d6894cd06d86
APP-IFS-ZEVI2-ALTERNATIVE-FUELS-2434-20260709,2434,Zero Emission Vessels and Infrastructure 2: Alternative Fuels,CONVERSION_PACK_READY_PARTNER_EVIDENCE_REQUIRED,COST_SKELETON_READY_MARITIME_CONSORTIUM_REQUIRED,ZEVI2_MARITIME_COLLABORATION_AUREON_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Three-year real-world clean-maritime deployment partner, assets, permissions and consortium budget required.",Do not submit without consortium budget and delivery evidence.,2026-09-16T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2434/overview/7d0c5074-e01c-4556-8674-4b185136f0ea
APP-IFS-CMDC7-PREDEPLOYMENT-2415-20260709,2415,Clean Maritime Demonstration Competition 7: Pre-deployment trials,CONVERSION_PACK_READY_PARTNER_EVIDENCE_REQUIRED,COST_SKELETON_READY_MARITIME_LEAD_ASSET_AND_BUDGET_REQUIRED,CMDC7_MARITIME_COLLABORATION_AUREON_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Maritime lead, vessel or port asset, permissions, safety case, partner budget and deployment plan required.",Do not create or submit IFS draft without named maritime collaborator and budget evidence.,2026-07-15T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2415/overview/9c26afe6-1c43-4269-b626-982dc951e02b
APP-IFS-CMDC7-FEASIBILITY-2416-20260709,2416,Clean Maritime Demonstration Competition 7: Feasibility studies,CONVERSION_PACK_READY_PARTNER_EVIDENCE_REQUIRED,COST_SKELETON_READY_MARITIME_LEAD_ASSET_AND_BUDGET_REQUIRED,CMDC7_MARITIME_COLLABORATION_AUREON_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Maritime lead, vessel or port asset, permissions, safety case, partner budget and deployment plan required.",Do not create or submit IFS draft without named maritime collaborator and budget evidence.,2026-07-15T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2416/overview/13cb21d1-2c01-471a-bc46-b69ce77c5884
APP-IFS-CMDC7-DEPLOYMENT-2414-20260709,2414,Clean Maritime Demonstration Competition 7: Deployment trials,CONVERSION_PACK_READY_PARTNER_EVIDENCE_REQUIRED,COST_SKELETON_READY_MARITIME_LEAD_ASSET_AND_BUDGET_REQUIRED,CMDC7_MARITIME_COLLABORATION_AUREON_EVIDENCE_OS_WORK_PACKAGE,250000,,,"Maritime lead, vessel or port asset, permissions, safety case, partner budget and deployment plan required.",Do not create or submit IFS draft without named maritime collaborator and budget evidence.,2026-07-15T11:00:00+01:00,https://apply-for-innovation-funding.service.gov.uk/competition/2414/overview/c0566767-b837-47cf-b9a1-5ed348dcb86b
